Fund,Department,Division,Account,Amount,Annotation
General Fund,Public Works Department,Streets & Sidewalks Division,Licenses Taxes & Fees,41.0, 
General Fund,Administration Services Dept,City Manager,Compensation - Full Time Reg,13455.76000000001, 
General Fund,Administration Services Dept,City Manager,Compensation - Overtime,500.0, 
General Fund,Administration Services Dept,City Manager,Compensation - Temp/Seasonal,-2152.4900000000016, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Sewer,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Natural Gas,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Mileage Reimbursement,513.14, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Water,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Licenses Taxes & Fees,200.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Water and Sewer,0.0, 
General Fund,Public Works Department,Engineering Services Division,Mach & Equipment,0.0, 
General Fund,Administration Services Dept,City Clerk Division,Compensation - Full Time Reg,2007.0899999999965, 
General Fund,Finance Department,Accounting Division,Mileage Reimbursement,0.0, 
General Fund,Finance Department,Accounting Division,Licenses Taxes & Fees,-2710.66, 
General Fund,Public Works Department,Streets & Sidewalks Division,Contra Salaries and Wages FEMA,0.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Contra Salaries and Wages-PB,-142688.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Contra Salaries and Wages,9312.24, 
General Fund,Finance Department,Accounting Division,Bank Fees,2340.3100000000004, 
General Fund,Parks Rec & Cultural Arts Dept,Planning & Development Div,Mileage Reimbursement,-162.39999999999998, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Maintenance Division,Licenses Taxes & Fees,200.0, 
General Fund,Parks Rec & Cultural Arts Dept,Planning & Development Div,Licenses Taxes & Fees,2024.13, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Telephone,-4.1099999999999, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Maintenance Division,Mileage Reimbursement,0.0, 
General Fund,Public Works Department,Public Works Administration,Dues & Subscriptions,100.0, 
General Fund,Parks Rec & Cultural Arts Dept,Planning & Development Div,Compensation - Temp/Seasonal,10500.0, 
General Fund,Parks Rec & Cultural Arts Dept,Planning & Development Div,Compensation - Full Time Reg,-3571.550000000003, 
General Fund,Public Works Department,Public Works Administration,Training,486.2399999999998, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Electricity,0.0, 
General Fund,Police Department,Patrol Division,Private Donations,0.0, 
General Fund,Information Technology Dept.,Information Services,Rents - Tower Rental,0.0, 
General Fund,Public Works Department,Engineering Services Division,Fleet Fuel Charges,93.2, 
General Fund,Public Works Department,Engineering Services Division,Fleet Maintenance Charges,0.0, 
General Fund,Non-Departmental Department,Non-Divisional,Principal Payments-Powell Bill,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Electricity,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Cellular Usage,113.69000000000005, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Telephone,103.75999999999999, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Interest Expense,11880.0, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Maint & Repair - Equipment,-51.35000000000002, 
General Fund,Transportation Department,Traffic Engineering Division,Bldg Permits & Insp Driveways,-7900.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Maintenance and Repairs,-2948.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Overages & Shortages,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Maint & Repair - Equipment,-2617.0, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,Fleet Maintenance Charges,798.1, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,Fleet Fuel Charges,73.97, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Water,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,Motor Pool Charges,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Maintenance Division,Mach & Equipment,-5850.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Sewer,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Compensation - Part Time,9100.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Compensation - Full Time Reg,1462.3899999999994, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Compensation - Full Time Reg,1354.7799999999988, 
General Fund,Information Technology Dept.,Information Services,Cost Transfers,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Compensation - Temp/Seasonal,-77.59000000000015, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Compensation - Overtime,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Compensation - Temp/Seasonal,0.0, 
General Fund,Administration Services Dept,Governing Body Division,FICA Tax Expense,-823.1499999999996, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,Group Insurance Expense,0.0, 
General Fund,Building Safety Department,Permitting & Inspections Div,Demolition,8919.5, 
General Fund,Public Works Department,Streets & Sidewalks Division,Maint & Repair - Equipment,0.0, 
General Fund,Fire & Rescue Department,Emergency Response Division,Supplies - Uniforms,-300.6800000000003, 
General Fund,Administration Services Dept,Governing Body Division,Vehicle Allowance,0.0,This is an annotation
General Fund,Fire & Rescue Department,Emergency Response Division,Supplies - Fleet Parts,7543.030000000001, 
General Fund,Building Safety Department,Permitting & Inspections Div,Maint & Repair - Equipment,-2312.5, 
General Fund,Fire & Rescue Department,Emergency Response Division,Supplies - Safety Equipment,35266.32000000001, 
General Fund,Administration Services Dept,Governing Body Division,Group Insurance Expense,27602.0, 
General Fund,Fire & Rescue Department,Emergency Response Division,Supplies - Books/Audio Visual,-1307.4, 
General Fund,Fire & Rescue Department,Fire Support Services Division,Private Donations,0.0, 
General Fund,Fire & Rescue Department,Emergency Response Division,Supplies - Other,13222.14, 
General Fund,Administration Services Dept,Governing Body Division,Expense Allowance,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Maintenance Division,Private Donations,-7487.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Supplies - Uniforms,-5106.14, 
General Fund,Administration Services Dept,Governing Body Division,Phone Allowance,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Supplies - Other,7371.07, 
General Fund,Human Resources Department,Human Resources Administration,Pager Service,0.0, 
General Fund,Non-Departmental Department,Non-Divisional,Maint & Repair - Buildings,0.0, 
General Fund,Human Resources Department,Human Resources Administration,Cellular Usage,-168.98999999999978, 
General Fund,Public Works Department,Public Works Administration,Supplies - Other,2657.959999999999, 
General Fund,Public Works Department,Public Works Administration,Services - Postage,434.3699999999999, 
General Fund,Human Resources Department,Human Resources Administration,Telephone,-116.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Other Capital Outlay,0.0, 
General Fund,Public Works Department,Public Works Administration,Supplies - Books/Audio Visual,100.06, 
General Fund,Human Resources Department,Human Resources Administration,Long Distance,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Community Program,Services - Copying and Dupl,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Maintenance and Repairs,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Community Program,Contracted Services,0.0, 
General Fund,Building Safety Department,Permitting & Inspections Div,Chrgs for Serv-DSD Technology,0.0, 
General Fund,Information Technology Dept.,IT Support Services Division,Supplies - Other,98378.9, 
General Fund,Human Resources Department,Human Resources Administration,Quality of Serv Award,1424.52, 
General Fund,Public Works Department,Streets & Sidewalks Division,Fines & Fees Permit Penalties,0.0, 
Stormwater Fund,Public Works Department,CAFR Preparation,Other Capital Outlay,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Community Program,Group Insurance Expense,0.0, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Lic. & Prmts - Permit Fee Disc,0.0, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Lic. & Permits - Permit Fees,0.0, 
General Fund,Human Resources Department,Human Resources Administration,Compensation - Full Time Reg,148822.13, 
General Fund,Human Resources Department,Human Resources Administration,Compensation - Part Time,-3152.0, 
General Fund,Human Resources Department,Human Resources Administration,Compensation - Temp/Seasonal,-17131.68, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Fleet Maintenance Charges,-415.1600000000035, 
General Fund,Information Technology Dept.,IT Support Services Division,Information Tech Purchases,349597.29, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Fleet Fuel Charges,-136.14999999999964, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Motor Pool Charges,0.0, 
General Fund,Human Resources Department,Human Resources Administration,Compensation - Overtime,-90.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Training,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Mach & Equipment,-13468.82, 
General Fund,Finance Department,Purchasing Central Stores,Contracted Services,608.4200000000001, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,OPEB Pension Contributions,-12176.67, 
General Fund,Finance Department,Purchasing Central Stores,Services - Janitorial,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Group Insurance Expense,0.0, 
General Fund,Finance Department,Purchasing Central Stores,Services - Copying and Dupl,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Community Program,Motor Pool Charges,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Community Program,Fleet Fuel Charges,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Community Program,Other Fleet Charges,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Community Program,Fleet Maintenance Charges,0.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Group Insurance Expense,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Community Program,Employer - LGERS,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Community Program,FICA Tax Expense,0.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Transfer Wtr Rev Fund-Sullivan,-660224.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Employer - 401(K),685.6, 
General Fund,Public Works Department,Sanitation Division,Licenses Taxes & Fees,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Community Program,Employer - 401(K),0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,FICA Tax Expense,4875.42, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Employer - LGERS,863.71, 
General Fund,Police Department,Patrol Division,Compensation - Temp/Seasonal,0.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Materials - Sidewalks,0.0, 
General Fund,Police Department,Patrol Division,Compensation - Full Time Reg,-107315.54999999981, 
General Fund,Public Works Department,Streets & Sidewalks Division,Materials,1479.5, 
General Fund,Police Department,Patrol Division,Compensation - Overtime,-48577.810000000056, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Maint & Repair - Equipment,33.879999999999995, 
General Fund,Police Department,Police Support Division,Compensation - Stand By Pay,248.79000000000087, 
General Fund,Information Technology Dept.,Technical Services Division,Maint & Repair - Buildings,0.0, 
General Fund,Information Technology Dept.,Technical Services Division,Maintenance and Repairs,-174152.37, 
General Fund,Information Technology Dept.,Technical Services Division,Maint & Repair - Equipment,573.8400000000001, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Fines & Fees Non Resid Entry,0.0, 
General Fund,Non-Departmental Department,Non-Divisional,Stormwater,26376.039999999994, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Training,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Dues & Subscriptions,0.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Rental/Lease,1200.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Professional Services,0.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Contracted Services,9000.0, 
General Fund,Police Department,Police Support Division,Compensation - Temp/Seasonal,13480.980000000003, 
General Fund,Police Department,Police Support Division,Compensation - Overtime,31675.740000000005, 
General Fund,Police Department,Police Administration Division,Bad Debts,0.0, 
General Fund,Police Department,Police Support Division,Compensation - Full Time Reg,93674.93999999994, 
General Fund,Police Department,Patrol Division,Compensation - Stand By Pay,-5175.699999999997, 
General Fund,Public Works Department,Streets & Sidewalks Division,Maint & Repair - Equipment,239.19000000000005, 
General Fund,Administration Services Dept,City Clerk Division,Group Insurance Expense,0.0, 
General Fund,Human Resources Department,Organizational Development,Compensation - Overtime,0.0, 
General Fund,Human Resources Department,Organizational Development,Compensation - Temp/Seasonal,8927.099999999999, 
General Fund,Human Resources Department,Organizational Development,Compensation - Full Time Reg,1508.6900000000023, 
General Fund,Administration Services Dept,City Clerk Division,Vehicle Allowance,-9.289999999999964, 
General Fund,Administration Services Dept,City Clerk Division,Contracted Services,-5.0, 
General Fund,Administration Services Dept,City Clerk Division,Professional Services,0.0, 
General Fund,Transportation Department,Traffic Engineering Division,Motor Pool Charges,0.0, 
General Fund,Public Works Department,Engineering Services Division,Other Capital Outlay,0.0, 
General Fund,Transportation Department,Traffic Engineering Division,Fleet Fuel Charges,101.57999999999993, 
General Fund,Transportation Department,Traffic Engineering Division,Fleet Maintenance Charges,1388.99, 
General Fund,Public Works Department,Streets & Sidewalks Division,Rents - Equipment Rental,0.0, 
General Fund,Administration Services Dept,City Clerk Division,Services - Copying and Dupl,0.0, 
General Fund,Administration Services Dept,City Clerk Division,Employer - 401(K),142.72000000000025, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Food Sales,0.0, 
General Fund,Public Works Department,Engineering Services Division,Training,791.6200000000008, 
General Fund,Administration Services Dept,City Clerk Division,Employer - LGERS,195.64999999999964,And this is another
General Fund,Administration Services Dept,City Clerk Division,FICA Tax Expense,208.6199999999999, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Licenses Taxes & Fees,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Services - Postage,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Supplies - Uniforms,207.19000000000005, 
General Fund,Finance Department,Finance Administration,Fleet Maintenance Charges,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Supplies - Other,156.3299999999872, 
General Fund,Finance Department,Finance Administration,Motor Pool Charges,0.0, 
General Fund,Public Works Department,Engineering Services Division,Licenses Taxes & Fees,-747.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Employer - LGERS,-115.25, 
General Fund,Public Works Department,Streets & Sidewalks Division,FICA Tax Expense,80.55000000000018, 
General Fund,Non-Departmental Department,Non-Divisional,Oper Transfers Cap Project Fd,-473643.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Employer - 401(K),-20.59999999999991, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Overages & Shortages,0.0, 
General Fund,Police Department,Police Support Division,Materials,233.54999999999995, 
General Fund,Police Department,Police Support Division,Maint & Repair - Equipment,872.5100000000002, 
General Fund,Police Department,Police Support Division,Maintenance and Repairs,-9928.919999999998, 
General Fund,Administration Services Dept,Fleet Management Division,Services - Copying and Dupl,1679.0, 
General Fund,Public Works Department,Engineering Services Division,Group Insurance Expense,0.0, 
General Fund,Police Department,Police Administration Division,Other Miscellaneous Revenue,0.0, 
General Fund,Administration Services Dept,Fleet Management Division,Services - Janitorial,1000.0, 
General Fund,Parks Rec & Cultural Arts Dept,Planning & Development Div,Group Insurance Expense,0.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Contra Non-Labor - FEMA,0.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Contra Non-Labor - Powell Bill,-55026.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Maintenance and Repairs,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Rental/Lease,200.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Services - Copying and Dupl,-19.480000000000018, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Maint & Repair - Equipment,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Contracted Services,2418.0, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Maintenance Division,Water and Sewer,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Maintenance Division,Dues & Subscriptions,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Fines & Fees Non Resid Entry,210.0, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Maintenance Division,Training,8824.33, 
General Fund,Non-Departmental Department,Inter-Extra Goverment Services,Oper Transfers Grant Fund,9907.0, 
General Fund,Planning & Development Dept,Community Development Division,Oper Transfers CDBG Fund,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Maintenance and Repairs,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Maint & Repair - Equipment,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Licenses Taxes & Fees,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Mileage Reimbursement,-200.36, 
General Fund,Public Works Department,Streets & Sidewalks Division,Maint & Repair - Equipment,-78.05999999999995, 
General Fund,Public Works Department,Streets & Sidewalks Division,Maintenance and Repairs,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Maintenance Division,Sewer,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Maintenance Division,Water,0.0, 
General Fund,Fire & Rescue Department,Emergency Response Division,Reimbursement,4639.6, 
General Fund,Police Department,Police Administration Division,County 911 Dispatch,0.0, 
General Fund,Police Department,Police Administration Division,Services - Advertising,1732.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Training,577.0, 
General Fund,Fire & Rescue Department,Fire Support Services Division,Emergency Notification System,-38990.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Dues & Subscriptions,0.0, 
General Fund,Police Department,Police Administration Division,Services - Outside Printing,0.0, 
General Fund,Police Department,Police Administration Division,Services - Copying and Dupl,0.0, 
General Fund,Police Department,Police Administration Division,Contracted Services,27314.75, 
General Fund,Police Department,Police Administration Division,Professional Services,91.0, 
General Fund,Public Works Department,Public Works Administration,Infrastructure - Powell Bill2,0.0, 
General Fund,Police Department,Police Administration Division,Rental/Lease,25895.2, 
General Fund,Transportation Department,Transportation Admin Div,Mach & Equipment,0.0, 
General Fund,Finance Department,Purchasing Operations Division,Compensation - Full Time Reg,-29598.369999999995, 
General Fund,Public Works Department,Engineering Services Division,FICA Tax Expense,-1315.7400000000016, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,Group Disability,0.0, 
General Fund,Public Works Department,Engineering Services Division,Employer - 401(K),-1221.0699999999997, 
General Fund,Public Works Department,Engineering Services Division,Employer - LGERS,-1994.2599999999984, 
General Fund,Administration Services Dept,Fleet Management Division,Contracted Services,-13508.989999999998, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,Employer - LGERS,0.0, 
General Fund,Administration Services Dept,Fleet Management Division,Professional Services,-4809.23, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,FICA Tax Expense,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,Employer - 401(K),0.0, 
General Fund,Economic Development Departmen,Economic Development Division,Sewer,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Supplies - Other,-8043.799999999999, 
General Fund,Economic Development Departmen,Economic Development Division,Water,0.0, 
General Fund,Non-Departmental Department,Non-Divisional,Mach & Equipment,0.0, 
General Fund,Finance Department,Accounting Division,Other Expense,0.0, 
General Fund,Economic Development Departmen,Economic Development Division,Natural Gas,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Supplies - Uniforms,0.0, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Materials,23446.39, 
General Fund,Parks Rec & Cultural Arts Dept,Community Program,Rental/Lease,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Community Program,Services - Advertising,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Community Program,Services - Copying and Dupl,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Community Program,Services - Outside Printing,0.0, 
General Fund,Economic Development Departmen,Economic Development Division,Electricity,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Community Program,Contracted Services,0.0, 
General Fund,Public Works Department,Public Works Administration,Infrastructure - Powell Bill,227553.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Purchases for Resale,-15255.69, 
General Fund,Public Works Department,Streets & Sidewalks Division,Sales and Services,0.0, 
General Fund,Economic Development Departmen,Economic Development Division,Water and Sewer,0.0, 
General Fund,Transportation Department,Traffic Engineering Division,Professional Services,700.0, 
General Fund,Planning & Development Dept,Historic Resources Division,Training,34.14000000000033, 
General Fund,Transportation Department,Traffic Engineering Division,Contracted Services,-4601.6500000000015, 
General Fund,Planning & Development Dept,Historic Resources Division,Dues & Subscriptions,-18.950000000000045, 
General Fund,Transportation Department,Traffic Engineering Division,Services - Copying and Dupl,200.0, 
General Fund,Information Technology Dept.,Information Services,Mileage Reimbursement,0.0, 
General Fund,Transportation Department,Traffic Engineering Division,Services - Advertising,100.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Rents - Rental Income,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Services - Copying and Dupl,245.6, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Rental/Lease,-2719.4799999999996, 
General Fund,Information Technology Dept.,Information Services,Licenses Taxes & Fees,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Professional Services,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Contracted Services,1200.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,FICA Tax Expense,159.64999999999998, 
General Fund,Public Works Department,Streets & Sidewalks Division,Rents - Equipment Rental,0.0, 
General Fund,Fire & Rescue Department,Fire Marshals Office Division,Group Insurance Expense,7013.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Purchases for Resale,-140.1199999999999, 
General Fund,Economic Development Departmen,Economic Development Division,Cellular Usage,-1940.5100000000002, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Services - Copying and Dupl,532.3, 
General Fund,Police Department,Police Support Division,Mach & Equipment,0.0, 
General Fund,Economic Development Departmen,Economic Development Division,Long Distance,0.0, 
General Fund,Economic Development Departmen,Economic Development Division,Telephone,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Contracted Services,7578.24, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Rental/Lease,-16.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Professional Services,0.0, 
General Fund,Fire & Rescue Department,Fire Marshals Office Division,FICA Tax Expense,-259.6100000000006, 
General Fund,Fire & Rescue Department,Fire Marshals Office Division,Employer - LGERS,-2009.4900000000052, 
General Fund,Fire & Rescue Department,Fire Marshals Office Division,Employer - Police 401(K),-1556.23, 
General Fund,Non-Departmental Department,Non-Divisional,Quality of Serv Award,0.0, 
General Fund,Fire & Rescue Department,Fire Marshals Office Division,Employer - 401(K),1525.3499999999985, 
General Fund,Fire & Rescue Department,Fire Marshals Office Division,Employer - 401(A),-48.31999999999971, 
General Fund,Administration Services Dept,Sustainability Division,Maint & Repair - Equipment,3382.0, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Maintenance Division,FICA Tax Expense,5607.830000000002, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Maintenance Division,Employer - LGERS,6819.960000000006, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Admission Fees,0.0, 
General Fund,Public Works Department,Sanitation Division,Fleet Maintenance Charges,-124744.25, 
General Fund,Public Works Department,Sanitation Division,Fleet Fuel Charges,-6020.090000000026, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Maintenance Division,Employer - 401(K),2151.8199999999997, 
General Fund,Finance Department,Budget Division,Charges to Other Funds,142461.0, 
General Fund,Public Works Department,Sanitation Division,Motor Pool Charges,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Water and Sewer,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Other Capital Outlay,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Compensation - Part Time,-25619.4, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Compensation - Temp/Seasonal,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Compensation - Full Time Reg,-68463.44, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Private Donations,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Compensation - Overtime,-557.15, 
General Fund,Administration Services Dept,City Hall Operations,Licenses Taxes & Fees,0.0, 
General Fund,Fire & Rescue Department,Fire Support Services Division,Supplies - Other,-2323.41, 
General Fund,Finance Department,Accounting Division,Motor Vehicles Licenses,2874.9500000000116, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Maintenance Division,Group Insurance Expense,-49461.0, 
General Fund,Administration Services Dept,City Manager,Cellular Usage,185.28999999999996, 
General Fund,Administration Services Dept,City Manager,Telephone,193.90999999999985, 
General Fund,Fire & Rescue Department,Fire Support Services Division,Services - Postage,1253.14, 
General Fund,Fire & Rescue Department,Fire Support Services Division,Supplies - Books/Audio Visual,-207.79, 
General Fund,Administration Services Dept,City Hall Operations,Group Insurance Expense,-16227.0, 
General Fund,Administration Services Dept,City Manager,Pager Service,0.0, 
General Fund,Fire & Rescue Department,Fire Support Services Division,Supplies - Uniforms,-36.99, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Sewer,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Contracted Services,-1200.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Group Insurance Expense,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Professional Services,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Water,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Services - Copying and Dupl,-188.12, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Food Sales,0.0, 
General Fund,Finance Department,Group Health Life & Dental,Claims - Medical Active,0.0, 
General Fund,Administration Services Dept,City Hall Operations,Employer - 401(K),466.1900000000005, 
General Fund,Transportation Department,Traffic Engineering Division,Charges for Services,0.0, 
General Fund,Finance Department,Purchasing Operations Division,Sale of Capital Assets,271911.63, 
General Fund,Administration Services Dept,City Hall Operations,FICA Tax Expense,706.0400000000009, 
General Fund,Administration Services Dept,City Hall Operations,Employer - LGERS,68.56000000000131, 
General Fund,Administration Services Dept,Fleet Management Division,Group Insurance Expense,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Employer - 401(K),205.18000000000006, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Telephone,171.92000000000007, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Employer - LGERS,218.69999999999982, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,FICA Tax Expense,141.44000000000005, 
General Fund,Planning & Development Dept,Planning Services Division,Sales and Services,7197.5, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Electricity,0.0, 
